seatCode,aid,type,,,,,,,,
02005,1,,,,,,,,,
02006,1,,,,,,,,,
02007,1,,,,,,,,,
02008,1,,,,,,,,,
02009,1,,,,,,,,,
02010,1,,,,,,,,,
02011,1,,,,,,,,,
02012,1,,,,,,,,,
02013,1,,,,,,,,,
02014,1,,,,,,,,,
02015,1,,,,,,,,,
02016,1,,,,,,,,,
02017,1,,,,,,,,,
02018,1,,,,,,,,,
02019,1,,,,,,,,,
02020,1,,,,,,,,,
02021,1,,,,,,,,,
02022,1,,,,,,,,,
02023,1,,,,,,,,,
02024,1,,,,,,,,,
02025,1,,,,,,,,,
02026,1,,,,,,,,,
02027,1,,,,,,,,,
02028,1,,,,,,,,,
02029,1,,,,,,,,,
02030,1,,,,,,,,,
02031,1,,,,,,,,,
02032,1,,,,,,,,,
02033,1,,,,,,,,,
02034,1,,,,,,,,,
02035,1,,,,,,,,,
02036,1,,,,,,,,,
02037,1,,,,,,,,,
02038,1,,,,,,,,,
02039,1,,,,,,,,,
02040,1,,,,,,,,,
02041,1,,,,,,,,,
02042,1,,,,,,,,,
02043,1,,,,,,,,,
02044,1,,,,,,,,,
02045,1,,,,,,,,,
02046,1,,,,,,,,,
02047,1,,,,,,,,,
02048,1,,,,,,,,,
02049,1,,,,,,,,,
02050,1,,,,,,,,,
02051,1,,,,,,,,,
02052,1,,,,,,,,,
02053,1,,,,,,,,,
02054,1,,,,,,,,,
02055,1,,,,,,,,,
02056,1,,,,,,,,,
02057,1,,,,,,,,,
02058,1,,,,,,,,,
02059,1,,,,,,,,,
02060,1,,,,,,,,,
02061,1,,,,,,,,,
02062,1,,,,,,,,,
02063,1,,,,,,,,,
02064,1,,,,,,,,,
02065,1,,,,,,,,,
02066,1,,,,,,,,,
02067,1,,,,,,,,,
02068,1,,,,,,,,,
02069,1,,,,,,,,,
02072,2,,,,,,,,,
02073,2,,,,,,,,,
02074,2,,,,,,,,,
02075,2,,,,,,,,,
02076,2,,,,,,,,,
02077,2,,,,,,,,,
02078,2,,,,,,,,,
02079,2,,,,,,,,,
02080,2,,,,,,,,,
02081,2,,,,,,,,,
02082,2,,,,,,,,,
02083,2,,,,,,,,,
02084,2,,,,,,,,,
02085,2,,,,,,,,,
02086,2,,,,,,,,,
02087,2,,,,,,,,,
02088,2,,,,,,,,,
02089,2,,,,,,,,,
02090,2,,,,,,,,,
02091,2,,,,,,,,,
02092,2,,,,,,,,,
02093,2,,,,,,,,,
02094,2,,,,,,,,,
02095,2,,,,,,,,,
02096,2,,,,,,,,,
02097,2,,,,,,,,,
02098,2,,,,,,,,,
02099,2,,,,,,,,,
02100,2,,,,,,,,,
02101,2,,,,,,,,,
02102,2,,,,,,,,,
02103,2,,,,,,,,,
02104,2,,,,,,,,,
02105,2,,,,,,,,,
02106,2,,,,,,,,,
02107,2,,,,,,,,,
02108,2,,,,,,,,,
02109,2,,,,,,,,,
02110,2,,,,,,,,,
02111,2,,,,,,,,,
02112,2,,,,,,,,,
02113,2,,,,,,,,,
02114,2,,,,,,,,,
02115,2,,,,,,,,,
02116,2,,,,,,,,,
02117,2,,,,,,,,,
02118,2,,,,,,,,,
02119,2,,,,,,,,,
02120,2,,,,,,,,,
02121,2,,,,,,,,,
02122,2,,,,,,,,,
02123,2,,,,,,,,,
02124,2,,,,,,,,,
02125,2,,,,,,,,,
02126,2,,,,,,,,,
02127,2,,,,,,,,,
02128,2,,,,,,,,,
02129,2,,,,,,,,,
02130,2,,,,,,,,,
02131,2,,,,,,,,,
02132,2,,,,,,,,,
02133,2,,,,,,,,,
02134,2,,,,,,,,,
02135,2,,,,,,,,,
02136,2,,,,,,,,,
02137,2,,,,,,,,,
02138,2,,,,,,,,,
02139,2,,,,,,,,,
02140,2,,,,,,,,,
02141,2,,,,,,,,,
02142,2,,,,,,,,,
02143,2,,,,,,,,,
02144,2,,,,,,,,,
02145,2,,,,,,,,,
02146,2,,,,,,,,,
02147,2,,,,,,,,,
02148,2,,,,,,,,,
02149,2,,,,,,,,,
02150,2,,,,,,,,,
02151,2,,,,,,,,,
02152,2,,,,,,,,,
02169,3,,,,,,,,,
02170,3,,,,,,,,,
02171,3,,,,,,,,,
02172,3,,,,,,,,,
02173,3,,,,,,,,,
02174,3,,,,,,,,,
02175,3,,,,,,,,,
02176,3,,,,,,,,,
